quantile, ccyy, threshold, hc, hceduc, hcmed
63, pe10, 18132, 21154.377, 1125.4198, 1427.3019
64, pe10, 18564, 21981.057, 1002.5377, 1413.684
65, pe10, 19067, 22788.967, 1141.9812, 1587.1549
66, pe10, 19555, 23347.929, 1104.9906, 1500.75
67, pe10, 20103, 22490.434, 1200.1745, 1516.1981
68, pe10, 20589, 24469.239, 1634.385, 1524.3239
69, pe10, 21115, 22736.547, 1205.3491, 1658.7028
70, pe10, 21622, 23543.594, 1208.4198, 1670.4575
71, pe10, 22192, 23593.887, 1054.662, 1562
72, pe10, 22793, 24608.967, 1254.184, 1708.1651
73, pe10, 23427, 25021.141, 1189.7887, 1996.939
74, pe10, 24015, 25480.972, 1306.6066, 1875.5829
75, pe10, 24689.5, 26035.505, 1348.8208, 1889.5472
76, pe10, 25358, 27121.657, 1627.2911, 2192.7793
77, pe10, 26002, 28051.319, 1562.5399, 2164.5634
78, pe10, 26971, 27776.469, 1469.218, 2266.7393
79, pe10, 27819, 27859.554, 1651.1502, 2321.6432
80, pe10, 28716, 28407.217, 1779.6321, 2382.0283
81, pe10, 29663, 29828.646, 1611.0236, 2250.967
82, pe10, 30595, 29627.66, 1578.3538, 2482.5094
83, pe10, 31762, 29389.793, 1682.8357, 1869.6995
84, pe10, 32897, 32334.382, 1846.9811, 2438.3868
85, pe10, 34082, 31993.288, 1693.5047, 2501.5472
86, pe10, 35428, 33086.268, 1782.6197, 2574.7981
87, pe10, 36752, 32628.057, 2050.9245, 2377.2547
88, pe10, 38296, 33970.717, 2345.3821, 2702.9057
89, pe10, 39939, 36864.892, 2535.6651, 3309.1179
90, pe10, 42000, 34550.304, 2056.4813, 2641.0981
91, pe10, 44153, 39389.948, 2718.6114, 3118.9763
92, pe10, 46421, 39386.764, 2485.2406, 3160.4009
93, pe10, 49186, 40221.526, 2903.4085, 4019.338
94, pe10, 52194, 40331.132, 2651.0094, 3455.533
95, pe10, 56357, 43404.835, 3161.2877, 3452.6651
96, pe10, 62213, 45053.292, 3057.7075, 3877.4104
97, pe10, 69358, 47967.737, 3632.23, 3484.3146
98, pe10, 80549, 55559.858, 4084.4009, 6213.1085
99, pe10, 103403, 56834.406, 4215.1321, 4979.1132
100, pe10, ., 73829.09, 6578.2311, 8500.7311
1, rs10, 4963, 610332.27, 7139.1304, 20445.63
2, rs10, 60000, 400023.61, 2666.6667, 15629.196
3, rs10, 86318, 342061.06, 68.292683, 14746.341
4, rs10, 100800, 335599.1, 2382.9787, 13723.404
5, rs10, 114000, 235201.66, 0, 12750
6, rs10, 124800, 350630.03, 3134.8837, 18379.209
7, rs10, 133471, 269310.37, 88.888889, 12083.578
8, rs10, 144000, 263023.87, 15.151515, 11224.848
9, rs10, 148934, 304995.24, 0, 11915.385
10, rs10, 156132, 282282.63, 86.956522, 16613.043
11, rs10, 166578, 275422.77, 62.222222, 15248.889
12, rs10, 175870, 276631.07, 0, 19539.5
13, rs10, 180000, 397156.14, 442.59259, 15484.444
14, rs10, 188076, 343479.64, 10.526316, 16926.316
15, rs10, 192000, 316692.6, 652.17391, 16162.609
16, rs10, 199129, 386269.6, 35.555556, 15670.222
17, rs10, 204000, 347526.96, 0, 15942.041
18, rs10, 214400, 390254.05, 46.511628, 26819.907
19, rs10, 216000, 366308.78, 0, 15985.792
20, rs10, 224104, 344266.13, 409.09091, 16633.636
21, rs10, 233572, 385327.37, 104.34783, 13444.978
22, rs10, 240000, 424826.79, 1828.2828, 13289.697
23, rs10, 240000, ., ., .
24, rs10, 247200, 467022.56, 3368.4211, 19810.526
25, rs10, 252000, 436864.09, 782.6087, 15062.957
26, rs10, 262008, 354688.66, 695.65217, 16322.609
27, rs10, 264000, 440068.81, 0, 24415
28, rs10, 270524, 394712.15, 0, 18097.561
29, rs10, 278400, 437171.87, 110.6383, 27072.766
30, rs10, 285738, 465012.37, 1706.6667, 15871.111
31, rs10, 292506, 487203.9, 608.69565, 21386.087
32, rs10, 300000, 475072.57, 1905.8824, 14648
33, rs10, 301811, 417659.5, 400, 16933.333
34, rs10, 312000, 483102.49, 237.28814, 20347.169
35, rs10, 321791, 418336.8, 0, 12281.212
36, rs10, 332780, 457976.16, 2608.6957, 20808.696
37, rs10, 342000, 539370, 622.22222, 21585.778
38, rs10, 351831, 442479.87, 1607.8261, 19521.739
39, rs10, 360000, 525418.15, 3872.1649, 15936.907
40, rs10, 360000, ., ., .
41, rs10, 368008, 521867.24, 1151.2195, 21840.488
42, rs10, 375828, 595448.98, 608.69565, 19397.391
43, rs10, 384000, 528610.43, 5508.1967, 15379.672
44, rs10, 389382, 445935.75, 0, 21509.2
45, rs10, 397680, 566611.5, 1874.7826, 26186.087
46, rs10, 408000, 517999.23, 2573.5849, 17855.849
47, rs10, 416143, 460046.91, 19487.179, 20127.179
48, rs10, 422433, 579427.51, 7813.3333, 16080
49, rs10, 432000, 576980.5, 4606.7797, 23200
50, rs10, 442308, 601770.18, 884.84848, 13870.303
51, rs10, 454792, 627909.16, 2539.1304, 23267.826
52, rs10, 457176, 623910.21, 2608.6957, 13887.826
53, rs10, 468000, 549014.27, 227.58621, 24637.931
54, rs10, 478073, 679165.78, 848.48485, 21921.212
55, rs10, 480000, 664906.69, 3000, 16864.706
56, rs10, 486000, 627066.89, 428.57143, 17184.286
57, rs10, 494400, 550522.4, 952.38095, 16597.143
58, rs10, 504000, 616262.51, 1726.3158, 22624.561
59, rs10, 513000, 696897.07, 6799.4118, 23881.412
60, rs10, 528000, 634937.63, 7292.3077, 22800.615
61, rs10, 534680, 712302.77, 4444.4444, 34142.222
62, rs10, 540000, 672950.51, 1142.8571, 21701.224
63, rs10, 552000, 601448.33, 1132.0755, 20978.113
64, rs10, 564000, 710075.64, 1526.3158, 23942.105
65, rs10, 576000, 745111.04, 9703.7037, 20061.481
66, rs10, 588000, 735183.07, 914.28571, 31297.629
67, rs10, 600000, 809923.47, 7166.0274, 24480
68, rs10, 609600, 719091, 6590.4762, 25523.81
69, rs10, 623271, 690218.26, 5106.9767, 18130.233
70, rs10, 631314, 776237.54, 11391.304, 33346.087
71, rs10, 645600, 788128.72, 3868.0851, 26838.298
72, rs10, 660000, 726967.76, 5330.5556, 16933.333
73, rs10, 672000, 876278.4, 18786.667, 29786.667
74, rs10, 685183, 715263.1, 7647.0588, 20951.294
75, rs10, 701959, 801562.55, 7565.2174, 28315.652
76, rs10, 719680, 791425.95, 13869.565, 26946.087
77, rs10, 724964, 894257.84, 16852.174, 26843.478
78, rs10, 742611, 844657.17, 10106.087, 23752.174
79, rs10, 754400, 827931.2, 4711.1111, 19763.556
80, rs10, 768000, 802595.23, 7429.1667, 19591.792
81, rs10, 781946, 874713.46, 2909.0909, 22245.455
82, rs10, 804000, 825092.65, 3804.1667, 18757.5
83, rs10, 828000, 885952.2, 5460.8696, 32407.826
84, rs10, 848851, 862843.49, 24863.636, 18335.455
85, rs10, 878111, 765650.55, 10400, 20538.667
86, rs10, 900000, 991247.81, 6528.3019, 28708.679
87, rs10, 923046, 1075513, 10307.692, 39542.564
88, rs10, 954240, 1065482.3, 4400, 28491.304
89, rs10, 972000, 1051932, 13970.213, 17227.234
